"case_id","case_title","court_type","jurisdiction","case_year","resolution_date","category_of_case","case_keywords","number_of_evidences","outcome_in_favor_of","outcome_in_court","main_issue"
"1","Vishnu Agencies (Pvt.) Ltd. Etc vs Commercial Tax Officer & Ors. Etc","Civil Appellate Jurisdiction","Supreme Court of India","1977","1977-12-16 00:00:00","Tax Law","sales tax, compulsory sale, essential commodities, statutory regulation","Medium","Respondent","Appeal dismissed","Taxability of compulsory sales under statutory regulations"
"2","Vikas Sales Corporation And Anr. Etc. ... vs Commissioner Of Commercial Taxes And ...","Civil Appellate Jurisdiction","Supreme Court of India","1996","1996-05-01 00:00:00","Tax Law","sales tax, REP Licence, Exim Scrip, import export, goods","Medium","Respondent","Appeal dismissed","Taxability of REP Licences/Exim Scrips"
"3","Workmen Of Indian Standards ... vs Management Of Indian Standards ...","Civil Appellate Jurisdiction","Supreme Court of India","1975","1975-10-06 00:00:00","Labor Law","industrial dispute, industry definition, Indian Standards Institution","Medium","Against Respondent","Appeal allowed","Whether Indian Standards Institution is an 'industry' under the Industrial Disputes Act"
"4","Commercial Tax Officer, Rajasthan vs Binani Cement Ltd. & Anr","Civil Appellate Jurisdiction","Supreme Court of India","2014","2014-02-19 00:00:00","Tax Law","sales tax, tax exemption, industrial unit, FCI, Rajasthan Sales Tax Act","Low","Against Respondent","Appeal allowed","Eligibility for tax exemption under the Rajasthan Sales Tax Act"
"5","Bhanumati Jaisukhbhai Bhuta vs Ivory Properties And Hotels Pvt Ltd And ...","Commercial Arbitration","Bombay High Court","2020","2020-01-28 00:00:00","Contract Law, Arbitration","development agreement, specific performance, arbitration, limitation period","Medium","Against Respondent","Petitions allowed","Validity of arbitral award, jurisdiction of arbitrator, limitation period"
"6","M/S Reva Electric Car Co.P.Ltd vs M/S Green Mobil","Civil Appellate Jurisdiction","Supreme Court of India","2011","2011-11-25 00:00:00","Contract Law, Arbitration","Memorandum of Understanding (MOU), Arbitration Agreement, Termination of Contract","Medium","Against Respondent","Arbitration clause enforceable","Enforceability of arbitration clause in a terminated contract"
"7","Rajeev Metal Works & Ors vs The Mineral & Metal Trading Corpn. Of ...","Civil Appellate Jurisdiction","Supreme Court of India","1995","1995-12-01 00:00:00","Consumer Protection","sale of goods, consumer dispute, canalized item","Low","Respondent","Appeal dismissed","Whether the transaction involved a consumer dispute"
"8","Arcelor Mittal Nippon Steel India Ltd. vs Essar Bulk Terminal Ltd.","Civil Appellate Jurisdiction","Supreme Court of India","2021","2021-09-14 00:00:00","Arbitration","Arbitration and Conciliation Act, 1996, Section 9, Section 17, Interim Relief","High","Against Respondent","Appeal partially allowed","Power of Court to grant interim relief under Section 9 of the Arbitration Act after constitution of Arbitral Tribunal"
"9","Ald Automotive Pvt Ltd vs The Commercial Tax Officer And Ors Now ...","Supreme Court","India","2018","2018-10-12 00:00:00","Tax Law, Constitutional Law","VAT, Input Tax Credit, Statutory Interpretation","Medium","Respondent","Upheld the validity of Section 19(11) and denied the benefit of Input Tax Credit","Challenge to Section 19(11) of Tamil Nadu Value Added Tax Act, 2006"
"10","Kapil Mehra & Ors vs Union Of India & Anr","Supreme Court of India","Delhi, India","2014","2014-10-17 00:00:00","Land Acquisition Compensation","Land valuation, solatium, interest, cost of development","Medium","Against Respondent","Appeals dismissed; compensation enhanced by High Court upheld; parties to bear respective costs.","Determination of fair market value for acquired land in Vasant Kunj and adequacy of compensation."
"11","State Of Tamil Nadu And Another vs Board Of Trustee Of The Port Of MadrasSupreme Court of IndiaIndiaN/A26-03-1999Tax Law, Constitutional LawPort Trust, Sales Tax, Statutory Duty, Business ActivityN/ARespondentJudgment in favor of the Port TrustWhether the Port Trust is a 'dealer' under the Tamil Nadu General Sales Tax Act, 1959","Supreme Court of India","India","1999","1999-03-26 00:00:00","Tax Law, Constitutional Law","Port Trust, Sales Tax, Statutory Duty, Business Activity","Low","Respondent","Judgment in favor of the Port Trust","Whether the Port Trust is a 'dealer' under the Tamil Nadu General Sales Tax Act, 1959"
"12","Calcutta Jute Manufacturing Co & Anr vs Commercial Tax Officer & Ors","Supreme Court of India","India","1997","1997-07-08 00:00:00","Tax Law","Sales Tax, Interest, Injunction Order","High","Against Respondent","Judgment in favor of the Revenue","Whether an assessee is liable to pay interest on the turnover tax during the period of injunction order"
"13","Desh Raj vs Balkishan (D) Through Proposed Lr Ms. ...","Supreme Court of India","India","2020","2020-01-20 00:00:00","Civil Law, Contract Law, Specific Performance","Agreement to Sell, Injunction, Damages","Low","Respondent","Appeal dismissed, appellant allowed to file written statement","Whether the appellant should be allowed to file a written statement after missing the deadline"
"14","Oil And Natural Gas Corporation Ltd. vs Afcons Gunanusa Jv","Supreme Court of India","India","2022","2022-08-30 00:00:00","Contract Law, Arbitration Law","Arbitrator's Fees, Arbitration Costs, Arbitration Agreement","Medium","Against Respondent","Judgment in favor of the Petitioner","Interpretation of the Fourth Schedule of the Arbitration and Conciliation Act, 1996"
"15","Maniben Maganbhai Bhariya vs District Development Officer","Supreme Court of India","India","2022","2022-04-25 00:00:00","Labor Law, Social Security","Gratuity, Anganwadi Workers, Social Security Benefits","Low","Respondent","Judgment in favor of the Appellant","Whether Anganwadi workers are entitled to gratuity under the Payment of Gratuity Act, 1972"
"16","Assistant Commissioner Of Income Tax ... vs Ahmedabad Urban Development Authority","Supreme Court of India","India","2020","2022-10-19 00:00:00","Tax Law, Charitable Trusts","Income Tax Act, Charitable Purpose, Public Utility, Profit Motive","Medium","Against Respondent","Judgment in favor of Revenue","Interpretation of the provisions of the Income Tax Act, 1961, particularly Section 2(15), regarding the tax exemption for charitable institutions and trusts"
"17","Anglo American Metallurgical Coal Pty ... vs Mmtc Ltd.","Supreme Court of India","India","2020","2020-12-17 00:00:00","Commercial Law, Arbitration Law","Arbitration Award, Contract Interpretation, Commercial Dispute","Medium","Against Respondent","Appeal allowed","Whether the Division Bench of the High Court erred in setting aside the arbitral award"
"18","Phoenix Arc Private Limited vs Spade Financial Services Limited","Supreme Court of India","India","2021","2021-02-01 00:00:00","Corporate Law, Insolvency and Bankruptcy","Financial Creditor, Related Party, Corporate Debtor, CIRP, CoC","High","Against Respondent","Judgment in favor of the Appellant","Whether Spade and AAA are financial creditors and related parties of the Corporate Debtor"
"19","Manisha Commercial Limited vs N.R. Dongre And Another","Delhi High Court","India","1999","1999-12-24 00:00:00","Civil Law, Company Law","Injunction, Trust, Shareholder Rights, Corporate Governance","High","Againt Respondent","Application dismissed","Whether the plaintiff, as the sole beneficiary of a trust, is entitled to an injunction restraining the trustee from exercising voting rights in a particular manner"
"20","Manohar Lal vs The State Of Punjab","Supreme Court of India","India","1960","1960-11-11 00:00:00","Constitutional Law, Labor Law","Fundamental Rights, Shop and Establishment Act, Equality","Low","Respondent","Appeal dismissed","Whether Section 7(1) of the Punjab Trade Employees Act, 1940, is unconstitutional as it violates the fundamental rights guaranteed by Articles 14, 19(1)(f) and (g) of the Constitution"
"21","Ramnath And Co. vs The Commissioner Of Income Tax","Supreme Court","India","2020","2020-06-05 00:00:00","Tax Law","Income Tax, Deduction, Service Tax, Foreign Exchange","Low","Respondent","Appeal dismissed","Eligibility for deduction under Section 80-O of the Income Tax Act, 1961 for services rendered to foreign enterprises"
